Latitude,Longitude,Speed,Heading,Timestamp
42.1014,-87.77131,0,,2018-09-21 14:12:26:660
42.1014,-87.77131,0,,2018-09-21 14:12:27:160
42.1014,-87.77131,0,,2018-09-21 14:12:27:660
42.1014,-87.77131,0,,2018-09-21 14:12:28:160
42.1014,-87.77131,0,,2018-09-21 14:12:28:660
42.1014,-87.77131,0,,2018-09-21 14:12:29:160
42.1014,-87.77131,0,,2018-09-21 14:12:29:660
42.1014,-87.77131,0,,2018-09-21 14:12:30:160
42.1014,-87.77131,0,,2018-09-21 14:12:30:660
42.1014,-87.77131,0,,2018-09-21 14:12:31:160
42.1014,-87.77131,0,,2018-09-21 14:12:31:660
42.1014,-87.77131,0,,2018-09-21 14:12:32:160
42.1014,-87.77131,0,,2018-09-21 14:12:32:661
42.1014,-87.77131,0,,2018-09-21 14:12:33:160
42.1014,-87.77131,0,,2018-09-21 14:12:33:660
42.1014,-87.77131,0,,2018-09-21 14:12:34:160
42.1014,-87.77131,0,,2018-09-21 14:12:34:660
42.1014,-87.77131,0,,2018-09-21 14:12:35:160
42.1014,-87.77131,0,,2018-09-21 14:12:35:660
42.1014,-87.77129,2.9,94.6,2018-09-21 14:12:36:160
42.1014,-87.77129,2.9,94.6,2018-09-21 14:12:36:660
42.10139,-87.77127,8,95.1,2018-09-21 14:12:37:160
42.10139,-87.77127,8,95.1,2018-09-21 14:12:37:661
42.10139,-87.77122,15.2,93.7,2018-09-21 14:12:38:160
42.10139,-87.77122,15.2,93.7,2018-09-21 14:12:38:660
42.10139,-87.77115,21.3,93.5,2018-09-21 14:12:39:160
42.10139,-87.77115,21.3,93.5,2018-09-21 14:12:39:660
42.10139,-87.77107,23.6,93.3,2018-09-21 14:12:40:160
